ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code
AZ88,heliport,Granite Reef Heliport,33.7030983,-112.0699997,US,Arizona,AZ,Phoenix,AZ88
AZ94,heliport,Biltmore Golf Course Heliport,33.52140045,-112.0199966,US,Arizona,AZ,Phoenix,AZ94
AZ95,heliport,Abrazo Scottsdale Hospital Emergency Department Heliport,33.639277,-111.996522,US,Arizona,AZ,Phoenix,AZ95
AZ98,heliport,John C. Lincoln Helistop,33.56950378,-112.0711594,US,Arizona,AZ,Phoenix,AZ98
AZ99,heliport,Phoenix Children's Hospital Heliport,33.47919846,-112.0419998,US,Arizona,AZ,Phoenix,AZ99
P18,heliport,Papago Army Heliport,33.47200012,-111.9639969,US,Arizona,AZ,Phoenix,P18
3TN7,heliport,Pigeon Forge Heliport,35.72430038,-83.63929749,US,Tennessee,TN,Pigeon Forge,3TN7
5TN3,heliport,Boondocks Heliport,35.73839951,-83.6065979,US,Tennessee,TN,Pigeon Forge,5TN3
6TN0,heliport,Waldens Creek Heliport,35.79040146,-83.60679626,US,Tennessee,TN,Pigeon Forge,6TN0
AR73,heliport,Piggott Community Hospital Heliport,36.38980103,-90.20200348,US,Arkansas,AR,Piggott,AR73
62KY,heliport,Pikeville Methodist Hospital Heliport,37.46969986,-82.521698,US,Kentucky,KY,Pikeville,62KY
65NC,heliport,Scenic Overlook B & B Heliport,36.34830093,-80.45420074,US,North Carolina,NC,Pilot Mountain,65NC
3IL6,heliport,Pinckneyville Correctional Center Heliport,38.08330154,-89.31999969,US,Illinois,IL,Pinckneyville,3IL6
13AR,heliport,Jrmc Heliport,34.18759918,-92.01789856,US,Arkansas,AR,Pine Bluff,13AR
NK95,heliport,Bastek Heliport,41.32089996,-74.50430298,US,New York,NY,Pine Island,NK95
4FD6,heliport,Pine Island Helistop,26.6067009,-82.11090088,US,Florida,FL,Pine Island Center,4FD6
93CL,heliport,Mc Carthy Ranch Heliport,36.84769821,-119.8249969,US,California,CA,Pinedale,93CL
0NC2,heliport,Moore Regional Hospital Heliport,35.204973,-79.458234,US,North Carolina,NC,Pinehurst,0NC2
95FL,heliport,Pinellas County Mosquito Control Heliport,27.87560081,-82.68930054,US,Florida,FL,Pinellas Park,95FL
18LA,heliport,Camp Beauregard Army National Guard Heliport,31.37507,-92.391287,US,Louisiana,LA,Pineville,18LA
9LA5,heliport,Huey P Long Regional Medical Center Heliport,31.32085,-92.4407,US,Louisiana,LA,Pineville,9LA5
NC55,heliport,Carowinds Heliport,35.102798,-80.953887,US,North Carolina,NC,Pineville,NC55
02NJ,heliport,Penske Heliport,40.55730057,-74.46710205,US,New Jersey,NJ,Piscataway,02NJ
2NJ7,heliport,Foley Machinery Heliport,40.55009842,-74.48770142,US,New Jersey,NJ,Piscataway,2NJ7
27NJ,heliport,Sony Music Heliport,39.74819946,-75.12799835,US,New Jersey,NJ,Pitman,27NJ
SN50,heliport,Mt Carmel Medical Center Heliport,37.38029861,-94.68520355,US,Kansas,KS,Pittsburg,SN50
XA27,heliport,UT Health East Texas Pittsburg Hospital Heliport,33.03242,-94.960779,US,Texas,TX,Pittsburg,XA27
42PN,heliport,Allegheny General Hospital Emergency Heliport,40.45090103,-80.00060272,US,Pennsylvania,PA,Pittsburgh,42PN
46PA,heliport,St Margaret Memorial Hospital Heliport,40.48949814,-79.89450073,US,Pennsylvania,PA,Pittsburgh,46PA
5PS3,heliport,St Francis Medical Center Heliport,40.46649933,-79.95279694,US,Pennsylvania,PA,Pittsburgh,5PS3
6PN6,heliport,Henke Heliport,40.38330078,-80.30000305,US,Pennsylvania,PA,Pittsburgh,6PN6
7PA8,heliport,Shadyside Health Edu & Research Corp. Heliport,40.45510101,-79.94029999,US,Pennsylvania,PA,Pittsburgh,7PA8
83PN,heliport,Wpxi-Tv Television Hill Heliport,40.4632988,-80.00460052,US,Pennsylvania,PA,Pittsburgh,83PN
PA16,heliport,Shadyside Health Education & Research Corp Heliport,40.45510101,-79.94029999,US,Pennsylvania,PA,Pittsburgh,PA16
PN23,heliport,Mercy Hospital Heliport,40.43529892,-79.98509979,US,Pennsylvania,PA,Pittsburgh,PN23
PN26,heliport,St Clair Hospital Heliport,40.378425,-80.065362,US,Pennsylvania,PA,Pittsburgh,PN26
PN78,heliport,600 Grant Street Rooftop Heliport,40.44200134,-79.99530029,US,Pennsylvania,PA,Pittsburgh,PN78
