ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code,class
KLSE,medium_airport,La Crosse Regional Airport,43.879002,-91.256699,US,Wisconsin,WI,La Crosse,LSE,Civillian
KSCK,medium_airport,Stockton Metropolitan Airport,37.89419937,-121.237999,US,California,CA,Stockton,SCK,Civillian
KHRL,medium_airport,Valley International Airport,26.22850037,-97.65440369,US,Texas,TX,Harlingen,HRL,Civillian
KHVN,medium_airport,Tweed New Haven Airport,41.26369858,-72.88680267,US,Connecticut,CT,New Haven,HVN,Civillian
KPSC,medium_airport,Tri Cities Airport,46.26470184,-119.1190033,US,Washington,WA,Pasco,PSC,Civillian
KSUS,medium_airport,Spirit of St Louis Airport,38.662102,-90.652,US,Missouri,MO,St Louis,SUS,Civillian
KDET,medium_airport,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,US,Michigan,MI,Detroit,DET,Civillian
KABI,medium_airport,Abilene Regional Airport,32.41130066,-99.68190002,US,Texas,TX,Abilene,ABI,Civillian
KMHR,medium_airport,Sacramento Mather Airport,38.553902,-121.297997,US,California,CA,Sacramento,MHR,Civillian
KUNV,medium_airport,University Park Airport,40.849374,-77.84852,US,Pennsylvania,PA,State College,UNV,Civillian
KIGM,medium_airport,Kingman Airport,35.259499,-113.938004,US,Arizona,AZ,Kingman,IGM,Civillian
KTIX,medium_airport,Space Coast Regional Airport,28.51479912,-80.79920197,US,Florida,FL,Titusville,TIX,Civillian
KRYY,medium_airport,Cobb County International Airport-McCollum Field,34.01316,-84.59721,US,Georgia,GA,Atlanta,RYY,Civillian
KEEN,medium_airport,Dillant Hopkins Airport,42.898399,-72.270798,US,New Hampshire,NH,Keene,EEN,Civillian
KTRM,medium_airport,Jacqueline Cochran Regional Airport,33.62670135,-116.1600037,US,California,CA,Palm Springs,TRM,Civillian
KSLN,medium_airport,Salina Municipal Airport,38.79100037,-97.65219879,US,Kansas,KS,Salina,SLN,Civillian
KTYR,medium_airport,Tyler Pounds Regional Airport,32.35409927,-95.40239716,US,Texas,TX,Tyler,TYR,Civillian
KIPT,medium_airport,Williamsport Regional Airport,41.2417984,-76.9210968,US,Pennsylvania,PA,Williamsport,IPT,Civillian
KYIP,medium_airport,Willow Run Airport,42.23789978,-83.53040314,US,Michigan,MI,Detroit,YIP,Civillian
KGFL,medium_airport,Floyd Bennett Memorial Airport,43.34120178,-73.61029816,US,New York,NY,Glens Falls,GFL,Civillian
KMMU,medium_airport,Morristown Municipal Airport,40.79940033,-74.41490173,US,New Jersey,NJ,Morristown,MMU,Civillian
KBLH,medium_airport,Blythe Airport,33.61920166,-114.7170029,US,California,CA,Blythe,BLH,Civillian
KFMY,medium_airport,Page Field,26.58659935,-81.86329651,US,Florida,FL,Fort Myers,FMY,Civillian
KMOT,medium_airport,Minot International Airport,48.25939941,-101.2799988,US,North Dakota,ND,Minot,MOT,Civillian
KSNS,medium_airport,Salinas Municipal Airport,36.66279984,-121.6060028,US,California,CA,Salinas,SNS,Civillian
KPTK,medium_airport,Oakland County International Airport,42.66550064,-83.42009735,US,Michigan,MI,Pontiac,PTK,Civillian
KRAL,medium_airport,Riverside Municipal Airport,33.9519,-117.445,US,California,CA,Riverside,RAL,Civillian
KPWK,medium_airport,Chicago Executive Airport,42.114222,-87.901494,US,Illinois,IL,Chicago/Prospect Heights/Wheeling,PWK,Civillian
KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,US,Illinois,IL,Chicago/West Chicago,DPA,Civillian
KWJF,medium_airport,General WM J Fox Airfield,34.74110031,-118.2190018,US,California,CA,Lancaster,WJF,Civillian
KRBL,medium_airport,Red Bluff Municipal Airport,40.15069962,-122.2519989,US,California,CA,Red Bluff,RBL,Civillian
KCOU,medium_airport,Columbia Regional Airport,38.8181,-92.219597,US,Missouri,MO,Columbia,COU,Civillian
KHLN,medium_airport,Helena Regional Airport,46.6068,-111.983002,US,Montana,MT,Helena,HLN,Civillian
KBAF,medium_airport,Westfield-Barnes Regional Airport,42.157799,-72.715599,US,Massachusetts,MA,Westfield/Springfield,BAF,Civillian
KMMV,medium_airport,Mc Minnville Municipal Airport,45.19440079,-123.1360016,US,Oregon,OR,Mc Minnville,MMV,Civillian
KERI,medium_airport,Erie International Tom Ridge Field,42.083127,-80.173867,US,Pennsylvania,PA,Erie,ERI,Civillian
KHOT,medium_airport,Memorial Field Airport,34.4788,-93.096262,US,Arkansas,AR,Hot Springs,HOT,Civillian
KLRD,medium_airport,Laredo International Airport,27.54380035,-99.46160126,US,Texas,TX,Laredo,LRD,Civillian
KMLU,medium_airport,Monroe Regional Airport,32.510899,-92.037697,US,Louisiana,LA,Monroe,MLU,Civillian
KPNE,medium_airport,Northeast Philadelphia Airport,40.081902,-75.010597,US,Pennsylvania,PA,Philadelphia,PNE,Civillian
KMER,medium_airport,Castle Airport,37.38050079,-120.5680008,US,California,CA,Merced,MER,Civillian
KHHR,medium_airport,Jack Northrop Field Hawthorne Municipal Airport,33.922798,-118.334999,US,California,CA,Hawthorne,HHR,Civillian
KSGR,medium_airport,Sugar Land Regional Airport,29.62229919,-95.65650177,US,Texas,TX,Houston,SGR,Civillian
KIPL,medium_airport,Imperial County Airport,32.83420181,-115.5790024,US,California,CA,Imperial,IPL,Civillian
KTOP,medium_airport,Philip Billard Municipal Airport,39.069899,-95.622606,US,Kansas,KS,Topeka,TOP,Civillian
KRVS,medium_airport,Richard Lloyd Jones Jr Airport,36.03960037,-95.98459625,US,Oklahoma,OK,Tulsa,RVS,Civillian
KBGM,medium_airport,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,US,New York,NY,Binghamton,BGM,Civillian
KCSG,medium_airport,Columbus Metropolitan Airport,32.5163002,-84.93890381,US,Georgia,GA,Columbus,CSG,Civillian
KEAU,medium_airport,Chippewa Valley Regional Airport,44.86579895,-91.48429871,US,Wisconsin,WI,Eau Claire,EAU,Civillian
KAFW,medium_airport,Fort Worth Alliance Airport,32.99044,-97.31947,US,Texas,TX,Fort Worth,AFW,Civillian
KGPI,medium_airport,Glacier Park International Airport,48.3105011,-114.2559967,US,Montana,MT,Kalispell,GPI,Civillian
